t,acc[0],acc[1],acc[2],speed[0],speed[1],speed[2],pos[0],pos[1],pos[2],omegadot[0],omegadot[1],omegadot[2],omega[0],omega[1],omega[2],q[0],q[1],q[2],q[3],forces[0],forces[1],forces[2],torque[0],torque[1],torque[2]
4.798577070236206,0.0,0.0,-9.81,1.0,0.0,-47.07404105901718,4.798577070236206,0.0,-115.32896498361174,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-9.81,0.0,0.0,0.0
4.865114450454712,0.0,0.0,-9.81,1.0,0.0,-47.72677275896073,4.865114450454712,0.0,-118.50457940927694,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-9.81,0.0,0.0,0.0
4.915060520172119,0.0,0.0,-9.81,1.0,0.0,-48.21674370288849,4.915060520172119,0.0,-120.91281625180777,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-9.81,0.0,0.0,0.0
4.948968172073364,0.0,0.0,-9.81,1.0,0.0,-48.549377768039705,4.948968172073364,0.0,-122.5590116531885,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-9.81,0.0,0.0,0.0
4.99831748008728,0.0,0.0,-9.81,1.0,0.0,-49.03349447965622,4.99831748008728,0.0,-124.9787806752637,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-9.81,0.0,0.0,0.0
5.04831600189209,0.0,0.0,-9.81,1.0,0.0,-49.5239799785614,5.04831600189209,0.0,-127.45490646808275,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-9.81,0.0,0.0,0.0
5.098317623138428,0.0,0.0,-9.81,1.0,0.0,-50.01449588298797,5.098317623138428,0.0,-129.95571234805044,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-9.81,0.0,0.0,0.0
5.148092746734619,0.0,0.0,-9.81,1.0,0.0,-50.50278984546661,5.148092746734619,0.0,-132.46949495456101,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-9.81,0.0,0.0,0.0
5.198309898376465,0.0,0.0,-9.81,1.0,0.0,-50.995420103073116,5.198309898376465,0.0,-135.03033969891666,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-9.81,0.0,0.0,0.0
5.248028755187988,0.0,0.0,-9.81,1.0,0.0,-51.48316208839416,5.248028755187988,0.0,-137.59002366299399,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-9.81,0.0,0.0,0.0
